id,smiles,energy,stability_score,molecular_weight,fluorine_count,logp,tpsa,rotatable_bonds,hbd,hba,optimization_converged,generation_time,created_at
3147,CC(CCF)c1ccc(F)c(F)c1,20.935291171252338,100.0,188.19199999999998,3,3.427900000000002,0.0,3,0,0,1,0.014590263366699219,2025-05-27 09:45:29
155,CCC(F)(CF)c1ccccc1,20.954917246007568,100.0,170.20199999999997,2,3.230900000000002,0.0,3,0,0,1,0.015169620513916016,2025-05-27 09:45:21
3735,CC(F)(F)C(C)(F)c1ccc(F)cc1,20.977750686658506,100.0,206.18199999999996,4,3.665600000000002,0.0,2,0,0,1,0.013541698455810547,2025-05-27 09:45:29
8370,CC(F)(F)C(C)(F)c1cccc(F)c1,20.97834712810629,100.0,206.18199999999993,4,3.665600000000002,0.0,2,0,0,1,0.01262664794921875,2025-05-27 09:45:43
823,CCc1cc(F)c(C(C)(F)F)cc1F,21.006391927131563,100.0,206.18199999999993,4,3.6389000000000014,0.0,2,0,0,1,0.012004375457763672,2025-05-27 09:45:21
4226,CC(CC(F)F)c1c(F)ccc(F)c1F,21.01009029258272,100.0,224.17199999999994,5,3.8626000000000014,0.0,3,0,0,1,0.015834569931030273,2025-05-27 09:45:32
6282,CC(C)(F)c1c(F)cccc1F,21.018874482268785,100.0,174.16499999999994,3,3.1694000000000013,0.0,1,0,0,1,0.012735128402709961,2025-05-27 09:45:38
9124,CC(F)C(C)(F)c1ccccc1,21.021312453099643,100.0,170.20199999999997,2,3.229300000000002,0.0,2,0,0,1,0.011949300765991211,2025-05-27 09:45:46
1673,CC1CCCC(F)(F)CC1,21.05342701887166,95.0,148.19599999999997,2,3.2219000000000024,0.0,0,0,0,1,0.00858449935913086,2025-05-27 09:45:24
2049,CC(F)(CF)c1ccccc1F,21.092309735310707,100.0,174.16499999999996,3,2.9799000000000015,0.0,2,0,0,1,0.010208845138549805,2025-05-27 09:45:26
6009,FC1CCCC(C(F)F)CC1,21.09513915607579,100.0,166.18599999999998,3,3.169900000000002,0.0,1,0,0,1,0.008669853210449219,2025-05-27 09:45:38
3601,CC(C)(F)c1c(F)cc(F)cc1F,21.09847790629501,100.0,192.15499999999994,4,3.3085000000000013,0.0,1,0,0,1,0.011565685272216797,2025-05-27 09:45:29
453,CC(F)(CC(F)F)c1cc(F)cc(F)c1,21.105966944706545,100.0,224.17199999999994,5,3.8047000000000013,0.0,3,0,0,1,0.01622772216796875,2025-05-27 09:45:21
3781,CC(F)c1ccc(C(C)(F)F)c(F)c1,21.126033146414414,100.0,206.18199999999993,4,3.967900000000002,0.0,2,0,0,1,0.014094829559326172,2025-05-27 09:45:29
7293,FCCC(CF)c1c(F)cccc1F,21.153373210080776,100.0,206.18199999999996,4,3.377500000000002,0.0,4,0,0,1,0.016623497009277344,2025-05-27 09:45:41
9290,CC(C)(F)c1c(F)ccc(F)c1F,21.19089148882496,100.0,192.15499999999994,4,3.3085000000000013,0.0,1,0,0,1,0.012663125991821289,2025-05-27 09:45:46
3866,CC(F)(F)C(c1cccc(F)c1)C(F)F,21.219238817742973,100.0,224.1719999999999,5,3.829600000000001,0.0,3,0,0,1,0.016140222549438477,2025-05-27 09:45:29
5461,CC(F)(c1cc(F)ccc1F)C(F)F,21.2487439115285,100.0,210.14499999999992,5,3.414600000000001,0.0,2,0,0,1,0.010122060775756836,2025-05-27 09:45:35
752,CCc1cc(F)c(C(F)(F)CF)cc1F,21.255503824198264,100.0,224.17199999999994,5,3.5885000000000016,0.0,3,0,0,1,0.01489877700805664,2025-05-27 09:45:21
1156,CCC(c1ccc(F)c(F)c1F)C(F)F,21.256944018854032,100.0,224.17199999999994,5,3.8626000000000014,0.0,3,0,0,1,0.015679597854614258,2025-05-27 09:45:24
458,CC1CCC(F)CC(F)C1,21.29157393571476,95.0,148.19599999999997,2,2.872700000000002,0.0,0,0,0,1,0.01061558723449707,2025-05-27 09:45:21
1183,CC(F)(CC(F)F)c1cccc(F)c1F,21.33130117162602,100.0,224.17199999999994,5,3.8047000000000013,0.0,3,0,0,1,0.014539480209350586,2025-05-27 09:45:24
5535,CCC(C)(F)c1ccccc1,21.334266269279116,85.0,152.212,1,3.2813000000000017,0.0,2,0,0,1,0.01055598258972168,2025-05-27 09:45:35
2381,CCc1ccc(C(F)(F)CF)c(F)c1F,21.338537371276196,100.0,224.17199999999994,5,3.5885000000000016,0.0,3,0,0,1,0.011680841445922852,2025-05-27 09:45:26
899,CC1(F)CCC(F)(F)CC1(F)F,21.346334558299418,85.0,188.13899999999995,5,3.169100000000002,0.0,0,0,0,1,0.007170915603637695,2025-05-27 09:45:21
7803,CC(CC(F)F)c1c(F)cccc1F,21.34896978512898,100.0,206.18199999999996,4,3.7235000000000023,0.0,3,0,0,1,0.015454530715942383,2025-05-27 09:45:41
563,FCC1CCCCC(F)C1,21.36837912983701,95.0,148.196,2,2.8743000000000016,0.0,1,0,0,1,0.012739896774291992,2025-05-27 09:45:21
3505,Fc1ccccc1C(F)(F)C(F)C(F)F,21.37170972202992,85.0,228.1349999999999,6,3.5207000000000006,0.0,3,0,0,1,0.009688615798950195,2025-05-27 09:45:29
4600,CCC(c1cccc(F)c1F)C(F)F,21.374310003921007,100.0,206.18199999999993,4,3.7235000000000014,0.0,3,0,0,1,0.014746904373168945,2025-05-27 09:45:32
6813,CC(F)(F)c1ccc(CCF)c(F)c1F,21.388573721408886,100.0,224.17199999999994,5,3.5885000000000016,0.0,3,0,0,1,0.013106822967529297,2025-05-27 09:45:38
678,CCC(c1cc(F)c(F)cc1F)C(F)F,21.43792990355099,100.0,224.17199999999994,5,3.8626000000000014,0.0,3,0,0,1,0.014600753784179688,2025-05-27 09:45:21
8097,CC(CF)C(F)(F)C(C)C(F)F,21.45896456624535,85.0,190.15499999999994,5,3.1285000000000016,0.0,4,0,0,1,0.012664794921875,2025-05-27 09:45:43
6949,CC(F)C(C)c1c(F)ccc(F)c1F,21.489905350451906,100.0,206.18199999999996,4,3.565400000000002,0.0,2,0,0,1,0.015799999237060547,2025-05-27 09:45:38
6125,CCC(F)(F)C(F)(F)c1cccc(F)c1F,21.504646191488586,100.0,242.16199999999992,6,4.101900000000001,0.0,3,0,0,1,0.015148639678955078,2025-05-27 09:45:38
3910,CC(CCF)c1cc(F)ccc1F,21.525860874137905,100.0,188.19199999999998,3,3.427900000000002,0.0,3,0,0,1,0.014520645141601562,2025-05-27 09:45:29
442,CCC(C)(F)c1ccccc1F,21.546566768088493,100.0,170.20199999999997,2,3.4204000000000025,0.0,2,0,0,1,0.014803886413574219,2025-05-27 09:45:21
1829,CCC(C)(F)c1ccc(F)c(F)c1,21.55262159799162,100.0,188.19199999999995,3,3.5595000000000017,0.0,2,0,0,1,0.012822389602661133,2025-05-27 09:45:24
4494,FC(F)C1CC(F)(F)CCC1F,21.555560796216906,85.0,188.13899999999995,5,3.0250000000000012,0.0,1,0,0,1,0.009525775909423828,2025-05-27 09:45:32
352,CC1CCCCCC1(F)F,21.575554099888215,95.0,148.19599999999997,2,3.2219000000000015,0.0,0,0,0,1,0.011081218719482422,2025-05-27 09:45:21
199,CCC(F)(c1cccc(F)c1F)C(F)F,21.607953969035204,100.0,224.17199999999994,5,3.8047000000000013,0.0,3,0,0,1,0.013694524765014648,2025-05-27 09:45:21
4525,CCC(C)(F)c1cc(F)ccc1F,21.62077798393214,100.0,188.19199999999998,3,3.5595000000000017,0.0,2,0,0,1,0.01486659049987793,2025-05-27 09:45:32
8910,CC1CC(F)C(F)CC1(F)F,21.662139402748323,100.0,170.14899999999997,4,2.727800000000001,0.0,0,0,0,1,0.01027989387512207,2025-05-27 09:45:43
2474,CC1(F)CCCC(F)(F)C1(F)F,21.666408803074248,85.0,188.13899999999995,5,3.169100000000002,0.0,0,0,0,1,0.009207725524902344,2025-05-27 09:45:26
2307,CCC(C)(F)c1cc(F)c(F)cc1F,21.7559122953374,100.0,206.18199999999996,4,3.6986000000000017,0.0,2,0,0,1,0.012483835220336914,2025-05-27 09:45:26
961,CCC(C)(F)c1cc(F)cc(F)c1F,21.77308938707663,100.0,206.18199999999993,4,3.6986000000000017,0.0,2,0,0,1,0.013127326965332031,2025-05-27 09:45:21
3518,CC1(F)CCCC(F)CC1,21.799778602304567,95.0,148.19599999999997,2,3.0168000000000017,0.0,0,0,0,1,0.010356664657592773,2025-05-27 09:45:29
7067,CC(F)(F)C(F)(F)c1ccc(F)cc1F,21.84992005023323,85.0,228.1349999999999,6,3.711800000000001,0.0,2,0,0,1,0.01211690902709961,2025-05-27 09:45:41
1322,FCCCCCC(F)F,21.874809628808066,95.0,140.148,3,2.7814000000000014,0.0,5,0,0,1,0.006026029586791992,2025-05-27 09:45:24
3111,CC1CCC(F)C(F)(F)CC1,21.91425536553649,100.0,166.18599999999998,3,3.169900000000002,0.0,0,0,0,1,0.012060403823852539,2025-05-27 09:45:29
2893,FC1CCC(F)C(C(F)F)CC1,21.917229395902904,100.0,184.17599999999996,4,3.1179000000000023,0.0,1,0,0,1,0.009100914001464844,2025-05-27 09:45:26
1234,CCC(CF)c1ccc(F)cc1F,22.006804361456123,100.0,188.19199999999998,3,3.427900000000002,0.0,3,0,0,1,0.01804184913635254,2025-05-27 09:45:24
1368,CC(F)C(C)(F)c1ccc(F)cc1,22.038015667180716,100.0,188.19199999999995,3,3.368400000000002,0.0,2,0,0,1,0.013921022415161133,2025-05-27 09:45:24
2245,CC(F)(c1cccc(F)c1)C(F)C(F)F,22.041064416216514,100.0,224.17199999999994,5,3.6136000000000017,0.0,3,0,0,1,0.013171672821044922,2025-05-27 09:45:26
6146,FC(F)C1CCCCCC1F,22.072408064725877,100.0,166.18599999999995,3,3.169900000000002,0.0,1,0,0,1,0.010108709335327148,2025-05-27 09:45:38
4989,CC(F)(CC(F)F)c1ccc(F)cc1F,22.102201623288654,100.0,224.17199999999994,5,3.8047000000000013,0.0,3,0,0,1,0.01614689826965332,2025-05-27 09:45:32
1958,CC1C(F)CCCCC1F,22.19511478014262,95.0,148.19599999999997,2,2.872700000000002,0.0,0,0,0,1,0.008332967758178711,2025-05-27 09:45:24
4582,FCC1CCC(F)C(F)(F)CC1,22.3935997560375,100.0,184.176,4,3.119500000000002,0.0,1,0,0,1,0.006598949432373047,2025-05-27 09:45:32
